CAR_NAME,YEAR,KM_DRIVEN,FULE_TYPE,MILAGE,TRANSMISSION_TYPE,SELLER_TYPE,ENGINE,SEATS,Car_Location,SELLING_PRICE
Maruti Alto Std,2012,"1,20,000",Petrol,19.7,Manual,Individual,796,5,Delhi,1.2
Hyundai Grand i10 Asta,2016,"20,000",Petrol,18.9,Manual,Individual,1197,5,Delhi,5.5
Hyundai i20 Asta,2010,"60,000",Petrol,17,Manual,Individual,1197,5,Delhi,2.15
Maruti Alto K10 2010-2014 VXI,2012,"37,000",Petrol,20.92,Manual,Individual,998,5,Delhi,2.26
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,2015,"30,000",Diesel,22.77,Manual,Dealer,1498,5,Delhi,5.7
Maruti Wagon R VXI BS IV,2013,"35,000",Petrol,18.9,Manual,Individual,998,5,Delhi,3.5
Hyundai i10 Sportz 1.2,2013,"40,000",Petrol,20.36,Manual,Dealer,1197,5,Delhi,3.15
Maruti Wagon R VXI,2018,"17,512",Petrol,20.51,Manual,Dealer,998,5,Delhi,4.1
Hyundai Venue SX Plus Turbo DCT BSIV,2019,"20,000",Petrol,18.15,Automatic,Individual,998,5,Delhi,10.5
Mahindra TUV 300 T6,2017,"70,000",Diesel,18.49,Manual,Dealer,1493,7,Delhi,5.75
Tata Indigo LX (TDI) BS-III,2015,"50,000",Diesel,19.09,Manual,Individual,1405,5,Delhi,3.05
Renault Captur Platine Dual Tone Diesel,2019,"18,000",Diesel,20.37,Manual,Individual,1461,5,Delhi,11.5
Maruti Swift VXI with ABS,2017,"28,321",Petrol,16.6,Manual,Dealer,1197,5,Andhra Pradesh,5.11
Nissan Micra XL CVT,2016,"27,000",Petrol,19.34,Automatic,Dealer,1198,5,Andhra Pradesh,4.1
Hyundai Verna 1.6 SX,2013,"65,278",Diesel,22.32,Manual,Dealer,1582,5,Andhra Pradesh,4.25
Renault Duster 110PS Diesel RxL Explore,2016,"50,000",Diesel,19.64,Manual,Individual,1461,5,Andhra Pradesh,7.5
Mini Cooper Cooper S,2017,"6,000",Petrol,14.41,Automatic,Dealer,1998,5,Andhra Pradesh,32.5
Maruti Ciaz ZDi Plus SHVS,2016,"76,000",Diesel,28.09,Manual,Dealer,1248,5,Andhra Pradesh,6.5
Maruti Swift VDI BSIV,2016,"20,000",Diesel,25.2,Manual,Individual,1248,5,Andhra Pradesh,6.27
Mercedes-Benz C-Class C 220 CDI Avantgarde,2014,"65,000",Diesel,19.27,Automatic,Dealer,2143,5,Andhra Pradesh,14.25
Maruti Swift VDI,2014,"62,200",Diesel,28.4,Manual,Dealer,1248,5,Andhra Pradesh,4.25
Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,"1,10,000",Diesel,12.99,Manual,Individual,2494,8,Andhra Pradesh,6.05
Maruti Baleno Zeta 1.2,2015,"20,000",Petrol,21.4,Manual,Individual,1197,5,Andhra Pradesh,6
Maruti Swift Dzire VXI,2016,"40,000",Petrol,20.85,Manual,Individual,1197,5,Andhra Pradesh,5.75
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2012,"97,000",Diesel,17.8,Manual,Individual,1248,5,Andhra Pradesh,2.6
Volkswagen Vento 1.6 Comfortline BSIV,2013,"47,000",Petrol,16.09,Manual,Dealer,1598,5,Andhra Pradesh,4.25
Maruti Alto K10 2010-2014 VXI,2013,"25,000",Petrol,20.92,Manual,Dealer,998,5,Andhra Pradesh,2.3
Hyundai Creta 1.6 CRDi SX,2019,"15,000",Diesel,19.67,Manual,Individual,1582,5,Andhra Pradesh,12.25
Mahindra Xylo H9,2010,"56,823",Diesel,14.02,Manual,Dealer,2179,8,Andhra Pradesh,3.75
Honda City i VTEC VX,2015,"50,000",Petrol,17.4,Manual,Individual,1497,5,Andhra Pradesh,7.5
Mahindra Bolero SLE BSIII,2011,"25,000",Diesel,13.6,Manual,Individual,2523,7,Andhra Pradesh,3.5
Maruti Swift Dzire VDI,2015,"90,000",Diesel,26.59,Manual,Individual,1248,5,Andhra Pradesh,6
Maruti Swift Dzire LDI,2013,"45,000",Diesel,26.59,Manual,Dealer,1248,5,Andhra Pradesh,3.9
Honda City 2017-2020 GXi,2007,"77,253",Petrol,17.7,Manual,Dealer,1497,5,Andhra Pradesh,1.45
Hyundai i20 Active 1.2 SX,2018,"25,000",Petrol,17.19,Manual,Individual,1197,5,Andhra Pradesh,7
Toyota Fortuner 4x2 Manual,2013,"1,10,000",Diesel,13,Manual,Individual,2982,7,Andhra Pradesh,11.5
Renault KWID Climber 1.0 MT,2017,"30,000",Petrol,23.01,Manual,Individual,999,5,Andhra Pradesh,3.4
Honda Amaze S Petrol,2016,"39,993",Petrol,18.6,Manual,Dealer,1199,5,Andhra Pradesh,4.65
Hyundai Santro Xing GLS,2009,"80,000",Petrol,17.92,Manual,Individual,1086,5,Andhra Pradesh,1.25
Mahindra XUV500 W8 2WD,2012,"1,85,000",Diesel,15.1,Manual,Individual,2179,7,Andhra Pradesh,6
Maruti Swift Dzire VDI,2013,"90,000",Diesel,23.4,Manual,Individual,1248,5,Andhra Pradesh,3.8
Mahindra Xylo E8,2009,"60,000",Diesel,14,Manual,Individual,2498,8,Andhra Pradesh,4
Chevrolet Sail 1.3 Base,2014,"90,000",Diesel,22.1,Manual,Individual,1248,5,Andhra Pradesh,3
Hyundai Xcent 1.2 Kappa SX,2015,"20,000",Petrol,19.1,Manual,Individual,1197,5,Andhra Pradesh,5
